datetime,sea_surface_wave_significant_height,air_temperature_at_2m_above_ground_level,wind_from_direction_at_10m_above_ground_level,wind_speed_at_10m_above_ground_level
2018-11-08T00:00:00Z,3.8,281.43,12.6,13.24
2018-11-08T03:00:00Z,3.98,281.61,14.2,13.94
2018-11-08T06:00:00Z,4.19,281.76,12.3,14.56
2018-11-08T09:00:00Z,4.29,281.92,13,14.02
2018-11-08T12:00:00Z,4.26,281.84,16.2,13.11
2018-11-08T15:00:00Z,4.1,281.55,351.5,9.8
2018-11-08T18:00:00Z,3.85,281.73,317.2,8.48
2018-11-08T21:00:00Z,3.65,281.59,311.3,9.84
2018-11-09T00:00:00Z,3.55,281.58,324.4,9.72
2018-11-09T03:00:00Z,3.66,281.56,324.7,9.53
2018-11-09T06:00:00Z,3.84,281.53,328.5,7.96
2018-11-09T09:00:00Z,3.78,281.48,342.2,5.95
2018-11-09T12:00:00Z,3.6,281.38,15.9,7.13
2018-11-09T15:00:00Z,3.53,281.83,353.5,10.02
2018-11-09T18:00:00Z,3.55,281.79,335.4,9.65
2018-11-09T21:00:00Z,3.56,281.55,316.8,10.11
2018-11-10T00:00:00Z,3.58,281.01,306.1,10.27
2018-11-10T03:00:00Z,3.74,280.84,311.5,13.73
2018-11-10T06:00:00Z,4.32,280.67,318.1,16.84
2018-11-10T09:00:00Z,4.37,280.81,254.4,10.58
2018-11-10T12:00:00Z,4.27,280.95,263.6,10.96
2018-11-10T15:00:00Z,4.24,280.76,275.9,12.5
2018-11-10T18:00:00Z,4.26,280.95,271.7,12.2
2018-11-10T21:00:00Z,4.39,280.96,268.1,13.46
2018-11-11T00:00:00Z,4.59,280.79,255.5,13.32
2018-11-11T03:00:00Z,4.75,280.56,252.9,12.88
2018-11-11T06:00:00Z,4.88,280.45,259.9,11.74
2018-11-11T09:00:00Z,4.99,280.29,266.3,11.78
2018-11-11T12:00:00Z,5.07,280.2,263.7,11.19
2018-11-11T15:00:00Z,5.08,280.14,262.6,10.53
2018-11-11T18:00:00Z,4.99,280.23,264.8,10.96
2018-11-11T21:00:00Z,4.87,280.65,272.4,11.89
2018-11-12T00:00:00Z,4.83,280.59,251,12.7
2018-11-12T03:00:00Z,4.77,280.58,244.4,11.1
2018-11-12T06:00:00Z,4.66,280.72,255.8,11.59
2018-11-12T09:00:00Z,4.5,280.52,243.2,10.86
2018-11-12T12:00:00Z,4.25,280.53,247.3,7.84
2018-11-12T15:00:00Z,4.04,280.49,247.6,6.08
2018-11-12T18:00:00Z,3.84,280.47,231.1,5.87
2018-11-12T21:00:00Z,3.62,280.44,242.1,5.62
2018-11-13T00:00:00Z,3.41,280.44,243.7,4.59
2018-11-13T03:00:00Z,3.2,280.39,251.4,2.46
2018-11-13T06:00:00Z,3,280.26,308.2,0.65
2018-11-13T09:00:00Z,2.82,280.19,26.2,2.01
2018-11-13T12:00:00Z,2.64,280.36,33.2,2.89
2018-11-13T15:00:00Z,2.49,280.63,36,3.61
2018-11-13T18:00:00Z,2.35,281.01,8.7,3.81
2018-11-13T21:00:00Z,2.24,281.19,333.5,4.39
2018-11-14T00:00:00Z,2.16,281.27,317.8,4.59
2018-11-14T03:00:00Z,2.08,281.06,261.2,5.67
2018-11-14T06:00:00Z,2.02,280.68,261.1,6.88
2018-11-14T09:00:00Z,1.97,280.85,279.9,7.6
2018-11-14T12:00:00Z,2.01,281.25,287.7,9.2
2018-11-14T15:00:00Z,2.14,281.53,282.3,9.2
2018-11-14T18:00:00Z,2.3,281.74,280.9,9.14
2018-11-14T21:00:00Z,2.49,281.8,275.7,9.44
2018-11-15T00:00:00Z,2.68,281.44,265.4,9.12
2018-11-15T03:00:00Z,2.75,281.04,238.6,6.88
2018-11-15T06:00:00Z,2.75,280.73,217.1,7.37
2018-11-15T09:00:00Z,2.7,280.23,212.7,6.61
2018-11-15T12:00:00Z,2.63,280.28,240.3,5.53
2018-11-15T15:00:00Z,2.56,280.57,267.8,7.03
2018-11-15T18:00:00Z,2.52,280.89,274.4,8.19
2018-11-15T21:00:00Z,2.47,281.07,287.4,7.19
2018-11-16T00:00:00Z,2.4,281.24,312.6,7.75
2018-11-16T03:00:00Z,null,281.42,330.2,8.84
2018-11-16T06:00:00Z,null,281.71,340.3,10.79
2018-11-16T09:00:00Z,null,282.11,351,13.93
2018-11-16T12:00:00Z,null,283.08,325.9,16.71
2018-11-16T15:00:00Z,null,283.14,317.6,15.29
2018-11-16T18:00:00Z,null,282.86,312.2,13.16
2018-11-16T21:00:00Z,null,282.6,305.1,11.92
2018-11-17T00:00:00Z,null,282.23,312.8,9.79
2018-11-17T03:00:00Z,null,281.98,300.7,6.85
2018-11-17T06:00:00Z,null,281.01,205.4,5.66
2018-11-17T09:00:00Z,null,280.78,200.4,7.64
2018-11-17T12:00:00Z,null,279.82,187.2,9.97
2018-11-17T15:00:00Z,null,279.24,197.6,9.01
2018-11-17T18:00:00Z,null,279.47,231.1,8.11
2018-11-17T21:00:00Z,null,279.36,233.6,9.97
2018-11-18T00:00:00Z,null,278.93,247.7,10.44
